ID_Venda,ID_Produto,ID_Cliente,ID_Tempo,ID_Plataforma,ID_Promocao,Quantidade,Preco_Unitario,Desconto_Percentual,Receita_Total,Custo_Total,Lucro_Bruto,Margem_Percentual,Canal_Venda,Forma_Pagamento,Data_Venda,Categoria,Dias_Apos_Lancamento,Midia_Fisica_Digital
VND00022,PRD001,CLI005,TMP0003,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,E-commerce,PIX,2024-01-03,Jogos,420,Físico e Digital
VND00023,PRD001,CLI062,TMP0164,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,E-commerce,Boleto,2024-06-12,Jogos,581,Físico e Digital
VND00024,PRD001,CLI023,TMP0013,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,E-commerce,Cartão Débito,2024-01-13,Jogos,430,Físico e Digital
VND00025,PRD001,CLI057,TMP1062,PLT001,PROMO015,1,224.91,10.00,224.91,164.90,60.01,26.68,E-commerce,Cartão Crédito,2026-11-27,Jogos,1479,Físico e Digital
VND00026,PRD001,CLI037,TMP1012,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,E-commerce,Cartão Débito,2026-10-08,Jogos,1429,Físico e Digital
VND00027,PRD001,CLI051,TMP0700,PLT001,PROMO009,1,174.93,30.00,174.93,164.90,"46,091.00",5.73,E-commerce,Cartão Débito,2025-11-30,Jogos,1117,Físico e Digital
VND00028,PRD001,CLI005,TMP0914,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,Loja Física,Cartão Crédito,2026-07-02,Jogos,1331,Físico e Digital
VND00029,PRD001,CLI033,TMP0333,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,E-commerce,Boleto,2024-11-28,Jogos,750,Físico e Digital
VND00030,PRD001,CLI073,TMP1063,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,App Mobile,Boleto,2026-11-28,Jogos,1480,Físico e Digital
VND00031,PRD001,CLI024,TMP0219,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,Boleto,2024-08-06,Jogos,636,Físico e Digital
VND00032,PRD001,CLI038,TMP0011,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,E-commerce,Cartão Crédito,2024-01-11,Jogos,428,Físico e Digital
VND00033,PRD001,CLI055,TMP0639,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,E-commerce,Cartão Crédito,2025-09-30,Jogos,1056,Físico e Digital
VND00034,PRD001,CLI012,TMP0022,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,Boleto,2024-01-22,Jogos,439,Físico e Digital
VND00035,PRD001,CLI009,TMP0765,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,Cartão Crédito,2026-02-03,Jogos,1182,Físico e Digital
VND00036,PRD001,CLI014,TMP0023,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,Cartão Crédito,2024-01-23,Jogos,440,Físico e Digital
VND00037,PRD001,CLI074,TMP0148,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,Cartão Débito,2024-05-27,Jogos,565,Físico e Digital
VND00038,PRD001,CLI061,TMP0698,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,E-commerce,PIX,2025-11-28,Jogos,1115,Físico e Digital
VND00039,PRD001,CLI012,TMP0029,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,App Mobile,Cartão Crédito,2024-01-29,Jogos,446,Físico e Digital
VND00040,PRD001,CLI024,TMP0015,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,Cartão Débito,2024-01-15,Jogos,432,Físico e Digital
VND00041,PRD001,CLI014,TMP0002,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,E-commerce,Cartão Crédito,2024-01-02,Jogos,419,Físico e Digital
VND00042,PRD001,CLI028,TMP0045,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,E-commerce,Boleto,2024-02-14,Jogos,462,Físico e Digital
VND00043,PRD001,CLI067,TMP1065,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,E-commerce,PIX,2026-11-30,Jogos,1482,Físico e Digital
VND00044,PRD001,CLI032,TMP0067,PLT001,PROMO003,2,224.91,10.00,449.82,329.80,120.02,26.68,App Mobile,Cartão Débito,2024-03-07,Jogos,484,Físico e Digital
VND00045,PRD001,CLI015,TMP0699,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,E-commerce,Boleto,2025-11-29,Jogos,1116,Físico e Digital
VND00046,PRD001,CLI019,TMP0825,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,Loja Física,PIX,2026-04-04,Jogos,1242,Físico e Digital
VND00047,PRD001,CLI071,TMP0494,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,App Mobile,PIX,2025-05-08,Jogos,911,Físico e Digital
VND00048,PRD001,CLI050,TMP0893,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,E-commerce,Boleto,2026-06-11,Jogos,1310,Físico e Digital
VND00049,PRD001,CLI028,TMP0721,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,App Mobile,PIX,2025-12-21,Jogos,1138,Físico e Digital
VND00050,PRD001,CLI020,TMP0008,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,App Mobile,Cartão Débito,2024-01-08,Jogos,425,Físico e Digital
VND00051,PRD001,CLI002,TMP0473,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,E-commerce,Cartão Débito,2025-04-17,Jogos,890,Físico e Digital
VND00052,PRD001,CLI043,TMP0719,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,Loja Física,Boleto,2025-12-19,Jogos,1136,Físico e Digital
VND00053,PRD001,CLI032,TMP0090,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,App Mobile,Cartão Crédito,2024-03-30,Jogos,507,Físico e Digital
VND00054,PRD001,CLI038,TMP0074,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,E-commerce,Cartão Débito,2024-03-14,Jogos,491,Físico e Digital
VND00055,PRD001,CLI076,TMP0012,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,Loja Física,Cartão Crédito,2024-01-12,Jogos,429,Físico e Digital
VND00056,PRD001,CLI057,TMP0177,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,Loja Física,PIX,2024-06-25,Jogos,594,Físico e Digital
VND00057,PRD001,CLI065,TMP0014,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,App Mobile,Cartão Crédito,2024-01-14,Jogos,431,Físico e Digital
VND00058,PRD001,CLI028,TMP0692,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,Cartão Crédito,2025-11-22,Jogos,1109,Físico e Digital
VND00059,PRD001,CLI007,TMP0014,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,Loja Física,PIX,2024-01-14,Jogos,431,Físico e Digital
VND00060,PRD001,CLI010,TMP0490,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,App Mobile,Cartão Crédito,2025-05-04,Jogos,907,Físico e Digital
VND00061,PRD002,CLI012,TMP0004,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,Loja Física,Cartão Crédito,2024-01-04,Jogos,76,Físico e Digital
VND00062,PRD002,CLI047,TMP0079,PLT001,PROMO003,1,269.91,10.00,269.91,194.90,75.01,27.79,Loja Física,Cartão Débito,2024-03-19,Jogos,151,Físico e Digital
VND00063,PRD002,CLI011,TMP0697,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,App Mobile,Cartão Crédito,2025-11-27,Jogos,769,Físico e Digital
VND00064,PRD002,CLI066,TMP0027,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,Loja Física,Boleto,2024-01-27,Jogos,99,Físico e Digital
VND00065,PRD002,CLI069,TMP0016,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,Loja Física,Boleto,2024-01-16,Jogos,88,Físico e Digital
VND00066,PRD002,CLI073,TMP0028,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,Boleto,2024-01-28,Jogos,100,Físico e Digital
VND00067,PRD002,CLI040,TMP0078,PLT001,PROMO003,1,269.91,10.00,269.91,194.90,75.01,27.79,App Mobile,Cartão Crédito,2024-03-18,Jogos,150,Físico e Digital
VND00068,PRD002,CLI062,TMP1090,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,E-commerce,Boleto,2026-12-25,Jogos,1162,Físico e Digital
VND00069,PRD002,CLI027,TMP1048,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,Cartão Crédito,2026-11-13,Jogos,1120,Físico e Digital
VND00070,PRD002,CLI001,TMP0024,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,Loja Física,Cartão Crédito,2024-01-24,Jogos,96,Físico e Digital
VND00071,PRD002,CLI032,TMP0551,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,PIX,2025-07-04,Jogos,623,Físico e Digital
VND00072,PRD002,CLI056,TMP0396,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,Cartão Débito,2025-01-30,Jogos,468,Físico e Digital
VND00073,PRD002,CLI030,TMP0471,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,Cartão Débito,2025-04-15,Jogos,543,Físico e Digital
VND00074,PRD002,CLI036,TMP0630,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,Loja Física,PIX,2025-09-21,Jogos,702,Físico e Digital
VND00075,PRD002,CLI026,TMP0008,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,PIX,2024-01-08,Jogos,80,Físico e Digital
VND00076,PRD002,CLI012,TMP0543,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,Boleto,2025-06-26,Jogos,615,Físico e Digital
VND00077,PRD002,CLI014,TMP0014,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,Loja Física,Boleto,2024-01-14,Jogos,86,Físico e Digital
VND00078,PRD002,CLI037,TMP0212,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,Loja Física,PIX,2024-07-30,Jogos,284,Físico e Digital
VND00079,PRD002,CLI061,TMP0028,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,Loja Física,Cartão Débito,2024-01-28,Jogos,100,Físico e Digital
VND00080,PRD002,CLI033,TMP0780,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,Cartão Crédito,2026-02-18,Jogos,852,Físico e Digital
VND00081,PRD002,CLI007,TMP1017,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,Boleto,2026-10-13,Jogos,1089,Físico e Digital
VND00082,PRD002,CLI002,TMP0002,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,Cartão Débito,2024-01-02,Jogos,74,Físico e Digital
VND00083,PRD002,CLI072,TMP0013,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,PIX,2024-01-13,Jogos,85,Físico e Digital
VND00084,PRD002,CLI036,TMP0747,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,Cartão Crédito,2026-01-16,Jogos,819,Físico e Digital
VND00085,PRD002,CLI015,TMP0064,PLT001,PROMO003,2,269.91,10.00,539.82,389.80,150.02,27.79,E-commerce,Cartão Débito,2024-03-04,Jogos,136,Físico e Digital
VND00086,PRD002,CLI001,TMP0978,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,App Mobile,Cartão Crédito,2026-09-04,Jogos,1050,Físico e Digital
VND00087,PRD002,CLI064,TMP0008,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,Loja Física,Cartão Débito,2024-01-08,Jogos,80,Físico e Digital
VND00088,PRD002,CLI069,TMP0088,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,Cartão Débito,2024-03-28,Jogos,160,Físico e Digital
VND00089,PRD002,CLI020,TMP0006,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,Loja Física,Cartão Crédito,2024-01-06,Jogos,78,Físico e Digital
VND00090,PRD002,CLI011,TMP0972,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,App Mobile,Boleto,2026-08-29,Jogos,1044,Físico e Digital
VND00091,PRD002,CLI018,TMP0921,PLT001,PROMO013,2,269.91,10.00,539.82,389.80,150.02,27.79,E-commerce,Cartão Crédito,2026-07-09,Jogos,993,Físico e Digital
VND00092,PRD002,CLI058,TMP0063,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,Loja Física,Cartão Crédito,2024-03-03,Jogos,135,Físico e Digital
VND00093,PRD002,CLI021,TMP0196,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,PIX,2024-07-14,Jogos,268,Físico e Digital
VND00094,PRD002,CLI010,TMP0037,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,Cartão Crédito,2024-02-06,Jogos,109,Físico e Digital
VND00095,PRD002,CLI054,TMP0382,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,Loja Física,Cartão Débito,2025-01-16,Jogos,454,Físico e Digital
VND00096,PRD002,CLI060,TMP0002,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,Cartão Débito,2024-01-02,Jogos,74,Físico e Digital
VND00097,PRD002,CLI004,TMP0603,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,App Mobile,Boleto,2025-08-25,Jogos,675,Físico e Digital
VND00098,PRD002,CLI037,TMP0010,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,Loja Física,Cartão Débito,2024-01-10,Jogos,82,Físico e Digital
VND00099,PRD002,CLI042,TMP0981,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,Loja Física,Boleto,2026-09-07,Jogos,1053,Físico e Digital
VND00100,PRD002,CLI055,TMP0208,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,Boleto,2024-07-26,Jogos,280,Físico e Digital
VND00101,PRD002,CLI047,TMP0206,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,PIX,2024-07-24,Jogos,278,Físico e Digital
VND00102,PRD002,CLI030,TMP0003,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,Loja Física,Cartão Débito,2024-01-03,Jogos,75,Físico e Digital
VND00103,PRD002,CLI005,TMP0097,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,E-commerce,Boleto,2024-04-06,Jogos,169,Físico e Digital
VND00104,PRD002,CLI065,TMP0190,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,Loja Física,Cartão Crédito,2024-07-08,Jogos,262,Físico e Digital
VND00105,PRD002,CLI021,TMP0019,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,E-commerce,PIX,2024-01-19,Jogos,91,Físico e Digital
VND00106,PRD002,CLI009,TMP0001,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,PIX,2024-01-01,Jogos,73,Físico e Digital
VND00107,PRD002,CLI016,TMP0299,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,E-commerce,Cartão Débito,2024-10-25,Jogos,371,Físico e Digital
VND00108,PRD002,CLI034,TMP0203,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,App Mobile,Cartão Débito,2024-07-21,Jogos,275,Físico e Digital
VND00109,PRD002,CLI002,TMP0593,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,Cartão Débito,2025-08-15,Jogos,665,Físico e Digital
VND00110,PRD002,CLI022,TMP0374,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,E-commerce,Cartão Crédito,2025-01-08,Jogos,446,Físico e Digital
VND00111,PRD002,CLI047,TMP0680,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,Loja Física,Cartão Crédito,2025-11-10,Jogos,752,Físico e Digital
VND00112,PRD002,CLI017,TMP0001,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,Loja Física,PIX,2024-01-01,Jogos,73,Físico e Digital
VND00113,PRD002,CLI076,TMP0630,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,Cartão Débito,2025-09-21,Jogos,702,Físico e Digital
VND00114,PRD002,CLI014,TMP0454,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,Loja Física,Cartão Débito,2025-03-29,Jogos,526,Físico e Digital
VND00115,PRD002,CLI010,TMP0080,PLT001,PROMO003,2,269.91,10.00,539.82,389.80,150.02,27.79,E-commerce,Boleto,2024-03-20,Jogos,152,Físico e Digital
VND00116,PRD002,CLI020,TMP0020,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,PIX,2024-01-20,Jogos,92,Físico e Digital
VND00117,PRD002,CLI045,TMP1052,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,Cartão Crédito,2026-11-17,Jogos,1124,Físico e Digital
VND00118,PRD002,CLI027,TMP0016,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,Loja Física,Cartão Débito,2024-01-16,Jogos,88,Físico e Digital
VND00119,PRD002,CLI027,TMP0037,PLT001,PROMO000,2,299.90,0.00,599.80,389.80,210.00,35.01,App Mobile,Cartão Crédito,2024-02-06,Jogos,109,Físico e Digital
VND00120,PRD002,CLI063,TMP1062,PLT001,PROMO015,1,269.91,10.00,269.91,194.90,75.01,27.79,E-commerce,PIX,2026-11-27,Jogos,1134,Físico e Digital
VND00121,PRD002,CLI040,TMP0017,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,App Mobile,PIX,2024-01-17,Jogos,89,Físico e Digital
VND00122,PRD002,CLI073,TMP0020,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,Boleto,2024-01-20,Jogos,92,Físico e Digital
VND00123,PRD002,CLI010,TMP0015,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,PIX,2024-01-15,Jogos,87,Físico e Digital
VND00124,PRD002,CLI011,TMP0887,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,Cartão Crédito,2026-06-05,Jogos,959,Físico e Digital
VND00125,PRD002,CLI015,TMP0666,PLT001,PROMO000,1,299.90,0.00,299.90,194.90,105.00,35.01,E-commerce,Boleto,2025-10-27,Jogos,738,Físico e Digital
VND00126,PRD003,CLI031,TMP0553,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,Loja Física,Boleto,2025-07-06,Jogos,1234,Físico e Digital
VND00127,PRD003,CLI034,TMP1086,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,App Mobile,PIX,2026-12-21,Jogos,1767,Físico e Digital
VND00128,PRD003,CLI014,TMP0003,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,E-commerce,Boleto,2024-01-03,Jogos,684,Físico e Digital
VND00129,PRD003,CLI037,TMP0704,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,App Mobile,Cartão Crédito,2025-12-04,Jogos,1385,Físico e Digital
VND00130,PRD003,CLI031,TMP0312,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,App Mobile,Cartão Débito,2024-11-07,Jogos,993,Físico e Digital
VND00131,PRD003,CLI052,TMP0017,PLT001,PROMO000,1,199.90,0.00,199.90,129.90,70.00,35.02,App Mobile,Boleto,2024-01-17,Jogos,698,Físico e Digital
VND00132,PRD003,CLI068,TMP0074,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,App Mobile,Cartão Crédito,2024-03-14,Jogos,755,Físico e Digital
VND00133,PRD003,CLI051,TMP0015,PLT001,PROMO000,1,199.90,0.00,199.90,129.90,70.00,35.02,App Mobile,Cartão Débito,2024-01-15,Jogos,696,Físico e Digital
VND00134,PRD003,CLI046,TMP0003,PLT001,PROMO000,1,199.90,0.00,199.90,129.90,70.00,35.02,Loja Física,Boleto,2024-01-03,Jogos,684,Físico e Digital
VND00135,PRD003,CLI015,TMP0027,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,E-commerce,Cartão Débito,2024-01-27,Jogos,708,Físico e Digital
VND00136,PRD003,CLI015,TMP0023,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,E-commerce,Cartão Crédito,2024-01-23,Jogos,704,Físico e Digital
VND00137,PRD003,CLI042,TMP0414,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,App Mobile,Cartão Crédito,2025-02-17,Jogos,1095,Físico e Digital
VND00138,PRD003,CLI060,TMP0002,PLT001,PROMO000,1,199.90,0.00,199.90,129.90,70.00,35.02,App Mobile,Boleto,2024-01-02,Jogos,683,Físico e Digital
VND00139,PRD003,CLI022,TMP0049,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,App Mobile,Cartão Débito,2024-02-18,Jogos,730,Físico e Digital
VND00140,PRD003,CLI009,TMP0958,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,Loja Física,PIX,2026-08-15,Jogos,1639,Físico e Digital
VND00141,PRD003,CLI004,TMP0851,PLT001,PROMO000,1,199.90,0.00,199.90,129.90,70.00,35.02,Loja Física,Cartão Crédito,2026-04-30,Jogos,1532,Físico e Digital
VND00142,PRD003,CLI014,TMP0012,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,Loja Física,Cartão Débito,2024-01-12,Jogos,693,Físico e Digital
VND00143,PRD003,CLI076,TMP0009,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,E-commerce,Cartão Crédito,2024-01-09,Jogos,690,Físico e Digital
VND00144,PRD003,CLI070,TMP0012,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,E-commerce,Boleto,2024-01-12,Jogos,693,Físico e Digital
VND00145,PRD003,CLI064,TMP1015,PLT001,PROMO000,2,199.90,0.00,399.80,259.80,140.00,35.02,App Mobile,PIX,2026-10-11,Jogos,1696,Físico e Digital
VND00146,PRD003,CLI050,TMP0029,PLT001,PROMO000,1,199.90,0.00,199.90,129.90,70.00,35.02,E-commerce,PIX,2024-01-29,Jogos,710,Físico e Digital
